Raw,UTCTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
Fix,Provider,Latitude,Longitude,Altitude,Speed,Accuracy,(UTC)TimeInMs
Raw,1755507817588,40235629000000,18,,-1439502798878505859,0.7872905731201172,1008.5621615871787,-12.695312656205477,17.86869573332938,90,10,0.0,16399,119034438812885,21,30.5,-323.0805969238281,0.7365000247955322,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0,1.57542003E9
Raw,1755507817588,40235629000000,18,,-1439502798878505859,0.7872905731201172,1008.5621615871787,-12.695312656205477,17.86869573332938,90,18,0.0,16399,119034429148803,21,30.1,510.0821838378906,0.75,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0,1.57542003E9
Raw,1755507817588,40235629000000,18,,-1439502798878505859,0.7872905731201172,1008.5621615871787,-12.695312656205477,17.86869573332938,90,23,0.0,16399,119034437696745,7,41.2,279.1798400878906,0.5730000138282776,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0,1.57542003E9
Raw,1755507817588,40235629000000,18,,-1439502798878505859,0.7872905731201172,1008.5621615871787,-12.695312656205477,17.86869573332938,90,28,0.0,16399,119034431666539,487,24.7,380.3304443359375,1.0670000314712524,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0,1.57542003E9
Raw,1755507817589,40235629000000,18,,-1439502798878505859,0.7872905731201172,1008.5621615871787,-12.695312656205477,17.86869573332938,90,29,0.0,16399,119034425734605,21,30.1,72.66363525390625,0.7559999823570251,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0,1.57542003E9
Raw,1755507817589,40235629000000,18,,-1439502798878505859,0.7872905731201172,1008.5621615871787,-12.695312656205477,17.86869573332938,90,194,0.0,16399,119034381077004,367,26.3,194.6323699951172,0.9620000123977661,16,0.0,0.0,1.57542003E9,,,,0,,4,0.0,1.57542003E9
Raw,1755507817589,40235629000000,18,,-1439502798878505859,0.7872905731201172,1008.5621615871787,-12.695312656205477,17.86869573332938,90,195,0.0,16399,119034392777966,16,33.4,72.32111358642578,0.6355000138282776,16,0.0,0.0,1.57542003E9,,,,0,,4,0.0,1.57542003E9
Raw,1755507817589,40235629000000,18,,-1439502798878505859,0.7872905731201172,1008.5621615871787,-12.695312656205477,17.86869573332938,90,13,0.0,49359,43416443164639,11,37.3,9.119945526123047,1.0390000343322754,16,0.0,0.0,1.60087501E9,,,,0,,3,0.0,1.60087501E9
Raw,1755507817589,40235629000000,18,,-1439502798878505859,0.7872905731201172,1008.5621615871787,-12.695312656205477,17.86869573332938,90,12,0.0,49359,43416438205822,318,27.8,627.754150390625,0.9235000014305115,16,0.0,0.0,1.60143744E9,,,,0,,3,0.0,1.60143744E9
Raw,1755507817589,40235629000000,18,,-1439502798878505859,0.7872905731201172,1008.5621615871787,-12.695312656205477,17.86869573332938,90,1,0.0,49359,43416434599955,487,24.6,-422.7984619140625,1.097499966621399,16,0.0,0.0,1.60256256E9,,,,0,,3,0.0,1.60256256E9
